# time 	 <x**4> 	 <x**2> 
752	787040	546.725
753	773483	543.872
754	788040	546.314
755	810547	554.496
756	812023	556.405
757	797395	552.507
758	795286	550.093
759	799422	548.515
760	803016	549.118
761	812510	557.825
762	817944	563.905
763	822328	565.08
764	821940	565.219
765	805046	562.007
766	797432	563.704
767	811344	571.625
768	839105	583.376
769	835459	581.994
770	822352	578.937
771	813681	575.907
772	797869	572.906
773	813113	578.936
774	805070	577.309
775	805195	573.799
776	801187	571.959
777	789155	569.018
778	797010	572.352
779	793564	571.006
780	793404	568.816
781	806795	572.755
782	809627	574.684
783	799864	573.534
784	788186	570.51
785	777581	567.194
786	784640	570.758
787	797076	579.362
788	784152	575.087
789	760506	567.608
790	759699	566.833
791	763531	569.034
792	762427	567.613
793	769797	567.94
794	766597	568.609
795	770051	569.156
796	772385	569.697
797	763353	566.742
798	796020	577.083
799	815846	586.818
800	809119	586.824
801	810437	587.494
802	819510	586.039
803	813675	582.812
804	826668	588.586
805	826599	587.373
806	854078	591.929
807	852028	592.303
808	835173	589.076
809	853364	592.209
810	871792	599.016
811	864732	598.474
812	877194	598.88
813	900684	605.944
814	893696	607.686
815	889427	600.804
816	898706	601.517
817	885314	598.753
818	900272	600.264
819	894308	600.557
820	894490	599.085
821	899815	601.122
822	917079	603.735
823	928350	603.362
824	937132	604.568
825	942813	607.124
826	950067	611.165
827	953536	616.082
828	939423	609.798
829	940062	611.785
830	943934	608.107
831	939059	610.066
832	940142	614.188
833	929783	610.279
834	930169	611.8
835	900483	607.976
836	888715	604.804
837	892107	605.709
838	906947	611.446
839	917731	613.884
840	920076	614.371
841	920808	616.456
842	917882	612.666
843	920032	615.531
844	904051	612.418
845	897965	614.22
846	896235	613.822
847	903366	614.787
848	901063	617.384
849	895212	612.916
850	896299	609.347
851	896460	609.809
852	922833	616.535
853	885842	606.406
854	886659	606.576
855	873518	603.022
856	893160	607.329
857	901841	609.953
858	918194	614.746
859	927648	616.323
860	927284	616.396
861	933757	615.654
862	935601	614.531
863	932415	610.488
864	924811	611.191
865	935726	614.037
866	938694	612.283
867	948184	612.521
868	952296	609.179
869	956976	609.635
870	973513	611.37
871	980141	614.909
872	975227	616.041
873	975520	616.693
874	982090	622.298
875	987733	623.849
876	1.02137e+06	626.533
877	1.0403e+06	633.677
878	1.0462e+06	633.105
879	1.05224e+06	630.822
880	1.07234e+06	635.712
881	1.04796e+06	627.713
882	1.02924e+06	621.559
883	1.05363e+06	629.009
884	1.04333e+06	625.326
885	1.02506e+06	621.26
886	1.037e+06	620.989
887	1.0245e+06	622.709
888	1.02849e+06	623.992
889	1.02311e+06	626.917
890	983014	618.395
891	986077	617.83
892	976254	614.599
893	984064	618.252
894	1.00768e+06	623.333
895	1.01231e+06	624.037
896	1.00229e+06	619.466
897	992509	618.962
898	999258	619.013
899	1.01041e+06	620.954
900	1.03291e+06	626.17
901	1.03793e+06	628.023
902	1.03142e+06	623.523
903	1.01945e+06	618.11
904	1.01349e+06	614.187
905	1.0259e+06	618.192
906	1.04814e+06	624.355
907	1.04891e+06	626.498
908	1.05408e+06	631.726
909	1.04188e+06	628.641
910	1.06662e+06	634.205
911	1.05604e+06	628.848
912	1.06875e+06	630.104
913	1.07934e+06	632.526
914	1.10264e+06	636.634
915	1.1084e+06	640.912
916	1.09974e+06	643.915
917	1.09421e+06	647.779
918	1.12169e+06	654.979
919	1.17265e+06	668.915
920	1.19524e+06	674.316
921	1.20536e+06	677.558
922	1.18836e+06	672.627
923	1.18294e+06	672.009
924	1.17988e+06	671.148
925	1.21665e+06	678.303
926	1.24871e+06	685.006
927	1.27062e+06	690.637
928	1.27017e+06	690.743
929	1.24884e+06	686.353
930	1.25987e+06	687.563
931	1.26642e+06	687.023
932	1.2618e+06	689.66
933	1.2847e+06	697.787
934	1.27858e+06	698.108
935	1.29578e+06	698.076
936	1.28948e+06	700.58
937	1.27381e+06	700.03
938	1.323e+06	708.591
939	1.33267e+06	713.482
940	1.31214e+06	706.981
941	1.29401e+06	699.118
942	1.29819e+06	698.23
943	1.29531e+06	697.362
944	1.28982e+06	696.201
945	1.29403e+06	694.289
946	1.33705e+06	703.706
947	1.35308e+06	706.147
948	1.38003e+06	708.659
949	1.41483e+06	720.342
950	1.44205e+06	727.847
951	1.4246e+06	722.272
952	1.42568e+06	718.268
953	1.43262e+06	716.373
954	1.45382e+06	716.58
955	1.45109e+06	715.873
956	1.47589e+06	716.739
957	1.44477e+06	709.696
958	1.44588e+06	706.742
959	1.44654e+06	708.61
960	1.48264e+06	715.896
961	1.46736e+06	712.795
962	1.46826e+06	709.99
963	1.46056e+06	708.747
964	1.47267e+06	708.622
965	1.49188e+06	715.032
966	1.47366e+06	714.353
967	1.46724e+06	714.163
968	1.46993e+06	713.615
969	1.45474e+06	712.765
970	1.46287e+06	716.947
971	1.42769e+06	712.367
972	1.40875e+06	705.56
973	1.41079e+06	709.825
974	1.38034e+06	707.737
975	1.40766e+06	711.102
976	1.40589e+06	711.936
977	1.40057e+06	710.327
978	1.42717e+06	712.096
979	1.45321e+06	718.071
980	1.49755e+06	730.192
981	1.49e+06	726.289
982	1.49214e+06	722.888
983	1.52162e+06	722.577
984	1.50172e+06	719.724
